Date	Close	Open	High	Low	Volume
1995-03-17	26.75	25.875	26.75	25.75	1182100
1995-03-20	26.6875	26.8125	26.8125	26.3125	732000
1995-03-21	27.125	26.75	27.1875	26.6875	872300
1995-03-22	26.8125	27.0	27.125	26.75	735900
1995-03-23	26.6875	26.6875	26.75	26.3125	576600
1995-03-24	26.75	26.5625	27.0	26.5625	417600
1995-03-27	26.5	26.625	26.6875	26.4375	267000
1995-03-28	26.1875	26.4375	26.5	26.125	712400
1995-03-29	26.1875	26.0	26.375	26.0	571700
1995-03-30	25.9375	26.25	26.25	25.875	635400
1995-03-31	26.4375	25.9375	26.4375	25.5625	491300
1995-04-03	25.5	26.3125	26.4375	25.5	225200
1995-04-04	26.0	25.5625	26.0625	25.0	779000
1995-04-05	26.0	25.875	26.0	25.8125	834200
1995-04-06	26.75	26.0	26.75	25.875	495600
1995-04-07	26.9375	26.6875	27.25	26.6875	669200
1995-04-10	27.625	26.9375	27.75	26.9375	310500
1995-04-11	27.25	27.5	28.125	27.125	697300
1995-04-12	27.5625	27.125	27.5625	27.125	661300
1995-04-13	27.5	27.5625	27.8125	27.5	576000
1995-04-17	27.3125	27.5	27.5	27.25	642900
1995-04-18	27.5625	27.4375	27.625	27.375	550100
1995-04-19	28.0	27.625	28.0625	27.5625	290900
1995-04-20	28.3125	28.0	28.5	28.0	879700
1995-04-21	28.0	28.375	28.375	27.9375	690000
1995-04-24	29.5	28.1875	29.875	28.125	448100
1995-04-25	28.75	29.25	29.25	28.4375	973400
1995-04-26	29.3125	28.5	29.3125	28.375	820000
1995-04-27	29.0	29.125	29.4375	28.75	976900
1995-04-28	28.875	28.9375	29.0625	28.6875	606900
1995-05-01	28.9375	28.9375	28.9375	28.6875	587600
1995-05-02	28.6875	28.9375	29.0	28.625	711300
1995-05-03	29.25	28.75	29.25	28.5625	994100
1995-05-04	29.6875	29.375	29.75	29.0625	466100
1995-05-05	29.25	29.6875	29.75	29.25	389500
1995-05-08	29.4375	29.1875	29.625	29.125	345100
1995-05-09	29.375	29.3125	29.5	29.25	345200
1995-05-10	29.0625	29.4375	29.4375	29.0	399800
1995-05-11	28.875	29.0	29.125	28.8125	318400
1995-05-12	29.5625	28.75	29.9375	28.6875	613900
1995-05-15	29.875	29.5625	30.0	29.5625	501400
1995-05-16	30.5	29.875	30.5625	29.875	534000
1995-05-17	30.1875	30.375	30.5	30.0	434100
1995-05-18	29.625	29.875	30.0	29.625	645400
1995-05-19	29.0625	29.25	29.375	28.875	481400
1995-05-22	28.875	29.0625	29.0625	28.8125	306600
1995-05-23	28.9375	28.875	29.0625	28.75	399700
1995-05-24	29.625	28.9375	30.0625	28.9375	524300
1995-05-25	29.8125	29.75	29.875	29.375	547900
1995-05-26	29.8125	29.625	29.8125	29.5625	321500
1995-05-30	29.625	29.625	29.6875	29.375	176000
1995-05-31	29.75	29.4375	29.75	29.25	432000
1995-06-01	30.0625	29.75	30.0625	29.5625	532400
1995-06-02	29.9375	29.6875	30.1875	29.5625	413100
1995-06-05	30.125	29.9375	30.375	29.875	415700
1995-06-06	29.875	30.0	30.125	29.8125	325300
1995-06-07	29.9375	29.75	29.9375	29.6875	244800
1995-06-08	29.875	29.8125	30.125	29.8125	489900
1995-06-09	28.875	29.625	29.625	28.8125	1109600
1995-06-12	29.375	29.0625	29.5625	29.0625	699000
1995-06-13	29.75	29.625	30.0	29.5	381900
1995-06-14	29.5625	29.75	29.75	29.5	389700
1995-06-15	29.6875	29.5625	29.875	29.4375	431700
1995-06-16	30.375	29.75	30.375	29.75	604000
1995-06-19	31.875	30.75	32.0	30.75	555500
1995-06-20	31.9375	31.6875	32.4375	31.5	485600
1995-06-21	31.9375	31.8125	32.0625	31.8125	536400
1995-06-22	31.8125	31.875	32.0	31.75	375300
1995-06-23	31.8125	31.625	31.875	31.5625	306400
1995-06-26	30.8125	31.75	31.75	30.8125	716300
1995-06-27	30.5	31.125	31.25	30.375	839600
1995-06-28	30.875	30.4375	30.875	30.3125	409600
1995-06-29	31.125	30.8125	31.1875	30.7813	440400
1995-06-30	31.5625	31.1875	31.6875	31.1875	928100
1995-07-03	31.4375	31.5	31.5	31.3125	179900
1995-07-05	31.375	31.3125	31.5	31.3125	257900
1995-07-06	31.1875	31.5	31.5	31.0	539100
1995-07-07	31.5	31.1875	31.75	31.125	565500
1995-07-10	31.875	31.5625	31.9375	31.4375	393400
1995-07-11	31.9375	31.75	32.3125	31.75	477500
1995-07-12	31.5625	32.0625	32.0625	31.5625	630500
1995-07-13	31.375	31.625	31.625	31.0	485000
1995-07-14	31.0	31.125	31.1875	30.875	185100
1995-07-17	31.25	31.375	31.4375	31.125	532400
1995-07-18	31.0625	31.25	31.375	31.0	309200
1995-07-19	30.4375	31.0625	31.0625	29.6875	807200
1995-07-20	30.9375	30.5	31.125	30.4375	508900
1995-07-21	31.25	30.6875	31.375	30.6875	343300
1995-07-24	31.375	31.1875	31.5	31.1875	330300
1995-07-25	31.25	31.4375	31.4375	31.1875	542100
1995-07-26	31.0	31.25	31.375	30.875	376800
1995-07-27	32.4375	31.25	32.6875	31.25	724000
1995-07-28	32.5	32.25	32.8125	31.9375	423500
1995-07-31	31.4375	32.5	33.0	31.4375	545800
1995-08-01	31.75	31.5	31.875	31.5	230100
1995-08-02	31.4375	31.75	32.0625	31.25	337800
1995-08-03	31.5	31.4375	31.5	31.125	325900
1995-08-04	31.125	31.5	31.5625	31.0	171800
1995-08-07	31.25	31.125	31.25	30.9375	384600
1995-08-08	30.875	31.125	31.125	30.25	1296100
1995-08-09	30.5625	30.875	30.875	30.375	352000
1995-08-10	30.125	30.5625	30.5625	30.0	544800
1995-08-11	30.125	30.25	30.3125	29.75	582500
1995-08-14	30.125	30.125	30.1875	30.0	397300
1995-08-15	30.125	30.125	30.4375	29.875	636600
1995-08-16	30.75	30.0625	30.8125	30.0625	355900
1995-08-17	30.75	30.8125	31.125	30.75	182500
1995-08-18	31.0	30.9375	31.125	30.8125	213100
1995-08-21	31.125	31.0	31.25	31.0	206300
1995-08-22	31.0	31.0625	31.125	30.8125	164800
1995-08-23	30.875	31.125	31.1875	30.8125	272000
1995-08-24	30.6875	30.875	30.9375	30.625	418400
1995-08-25	30.6875	30.625	30.6875	30.4375	237700
1995-08-28	30.25	30.9375	30.9375	30.0625	280100
1995-08-29	30.125	30.125	30.5625	30.0	277000
1995-08-30	30.3125	30.0625	30.4375	30.0625	536500
1995-08-31	30.4375	30.3125	30.4375	30.25	546600
1995-09-01	31.0625	30.5	31.125	30.4375	452300
1995-09-05	31.5	31.0	31.625	30.75	792100
1995-09-06	31.75	31.5	31.75	31.375	488400
1995-09-07	31.8125	31.875	31.9375	31.6875	375900
1995-09-08	31.75	31.75	31.875	31.625	96600
1995-09-11	31.8125	31.8125	32.0	31.4375	391000
1995-09-12	31.625	31.6875	31.875	31.4375	291800
1995-09-13	32.0	31.75	32.0625	31.6875	211200
